info: ::1 - - [22/Sep/2022:02:35:47 +0000] "POST /api/v1/users/login HTTP/1.1" 202 249 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:36:59 +0000] "POST /api/v1/notes HTTP/1.1" 201 281 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:37:06 +0000] "GET /api/v1/notes HTTP/1.1" 202 980 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:37:56 +0000] "POST /api/v1/notes HTTP/1.1" 201 281 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:38:32 +0000] "GET /api/v1/notes HTTP/1.1" 202 1203 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:39:07 +0000] "GET /api/v1/notes HTTP/1.1" 200 1218 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:57:41 +0000] "PUT /api/v1/notes/632bca847e87dd52287ba7ec HTTP/1.1" 200 288 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:02:57:54 +0000] "GET /api/v1/notes/632bca847e87dd52287ba7ec HTTP/1.1" 200 280 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /api-docs/ HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /api-docs/swagger-ui.css HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /api-docs/swagger-ui-init.js HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /api-docs/swagger-ui-bundle.js HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /api-docs/swagger-ui-standalone-preset.js HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:04:24:50 +0000] "GET /favicon.ico HTTP/1.1" 404 47 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36"

info: ::1 - - [22/Sep/2022:10:12:19 +0000] "POST /api/v1/users HTTP/1.1" 201 328 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:22:16 +0000] "POST /api/v1/users HTTP/1.1" 201 340 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:22:19 +0000] "POST /api/v1/users HTTP/1.1" 400 53 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:26:48 +0000] "POST /api/v1/users HTTP/1.1" 201 326 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:26:54 +0000] "POST /api/v1/users HTTP/1.1" 400 53 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:27:57 +0000] "POST /api/v1/users HTTP/1.1" 201 332 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:28:04 +0000] "POST /api/v1/users HTTP/1.1" 400 53 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:30:31 +0000] "POST /api/v1/users HTTP/1.1" 201 322 "-" "PostmanRuntime/7.29.2"

info: ::1 - - [22/Sep/2022:10:30:50 +0000] "POST /api/v1/users HTTP/1.1" 400 53 "-" "PostmanRuntime/7.29.2"

